total, ,11609630,11396117,11378853,11364544,11360006,11344209,11360951, ,11344209,11609630,11402044
conv,0,3424349,3384363,3392154,3383692,3382099,3362566,3383804, ,3362566,3424349,3387575
conv,1,61391,59600,59418,59567,59460,59434,59411, ,59411,61391,59754
conv,2,1448390,1418746,1444818,1417797,1417613,1440831,1417609, ,1417609,1448390,1429400
conv,3,45337,43985,44422,43902,43928,44310,43786, ,43786,45337,44238
conv,4,63036,62682,62689,62778,62872,62807,62831, ,62682,63036,62813
conv,5,368776,362936,362522,361226,361187,362165,361047, ,361047,368776,362837
conv,6,18164,17605,17517,17430,42733,17544,17288, ,17288,42733,21183
conv,7,19413,18797,18736,18834,20279,18874,18752, ,18736,20279,19097
conv,8,27444,27076,27116,27246,27584,26967,27192, ,26967,27584,27232
conv,9,113414,112616,112737,112662,112506,112670,112648, ,112506,113414,112750
conv,10,113234,112338,112272,112585,112540,112457,112461, ,112272,113234,112555
conv,11,712587,737797,708434,708447,708729,708148,737703, ,708148,737797,717406
conv,12,34180,34447,33736,33850,33449,33628,34451, ,33449,34451,33963
conv,13,95594,94674,93127,93020,93262,92943,93960, ,92943,95594,93797
conv,14,60074,58658,58135,58206,58260,58188,58529, ,58135,60074,58578
conv,15,93074,93051,93275,93815,92795,92995,92994, ,92795,93815,93142
conv,16,50493,49853,49646,49745,49808,49909,49849, ,49646,50493,49900
conv,17,164585,158763,156727,157713,156551,156306,156392, ,156306,164585,158148
conv,18,14052,14302,13920,14112,13981,14002,14042, ,13920,14302,14058
conv,19,8687,8769,8641,8746,8690,8661,8698, ,8641,8769,8698
conv,20,36848,36392,36528,36787,36647,36367,36561, ,36367,36848,36590
conv,21,78480,77047,76656,76900,76886,76779,76829, ,76656,78480,77082
conv,22,58917,56892,57039,56972,56873,57013,56990, ,56873,58917,57242
conv,23,191775,186958,186695,186449,186052,217357,186200, ,186052,217357,191640
conv,24,23006,22624,22756,22734,22389,23165,22413, ,22389,23165,22726
conv,25,7176,7188,7176,7285,7178,8780,7339, ,7176,8780,7446
conv,26,37468,37021,37148,37213,37234,37376,36964, ,36964,37468,37203
conv,27,83784,63642,63799,63818,63913,63878,63860, ,63642,83784,66670
conv,28,65067,63700,63875,63933,63841,63780,63824, ,63700,65067,64002
conv,29,236173,233196,232695,232710,232553,233230,232390, ,232390,236173,233278
conv,30,22700,22575,22395,22582,22600,22568,22747, ,22395,22747,22595
conv,31,7412,7211,7157,7182,7275,7377,7172, ,7157,7412,7255
conv,32,36393,36420,62634,36347,36403,36595,36340, ,36340,62634,40161
conv,33,59104,57065,57959,57155,57137,57055,57179, ,57055,59104,57522
conv,34,72550,70282,70567,70184,70413,70420,70286, ,70184,72550,70671
conv,35,381397,361368,359097,357375,356705,356608,356930, ,356608,381397,361354
conv,36,22944,22867,23130,22727,22630,22623,22896, ,22623,23130,22831
conv,37,7092,7198,7607,7172,7150,7085,7163, ,7085,7607,7209
conv,38,36590,36497,37082,37032,36985,37035,37080, ,36497,37082,36900
conv,39,128275,128006,128085,128478,129069,128361,128480, ,128006,129069,128393
conv,40,81652,78608,78772,78723,78771,78537,78558, ,78537,81652,79088
conv,41,415267,390377,381712,381383,382470,381297,381103, ,381103,415267,387658
conv,42,23266,22866,22862,22864,22971,22749,22871, ,22749,23266,22921
conv,43,27106,25057,25308,25138,25543,25197,25182, ,25057,27106,25504
conv,44,66382,65684,65838,65895,65818,65870,66531, ,65684,66531,66002
conv,45,38140,37358,36775,37033,36936,36800,36888, ,36775,38140,37132
conv,46,65449,63521,63406,63414,63629,63497,63572, ,63406,65449,63784
conv,47,42414,40779,40759,40840,40802,40724,40819, ,40724,42414,41019
conv,48,124715,115058,113440,113174,113378,113437,114593, ,113174,124715,115399
conv,49,13164,13431,13394,13346,13467,13463,13636, ,13164,13636,13414
conv,50,3313,3417,3278,3290,3394,3421,3401, ,3278,3421,3359
conv,51,95254,93875,93894,93898,93898,93829,93918, ,93829,95254,94080
conv,52,49921,48091,48003,48063,48061,48093,48068, ,48003,49921,48328
conv,53,168345,162776,162228,188708,162170,161964,162503, ,161964,188708,166956
conv,54,16441,15890,15871,16507,15834,15779,15807, ,15779,16507,16018
conv,55,3232,3180,3078,4336,3102,3117,3206, ,3078,4336,3321
conv,56,35042,33493,33511,33751,33450,33489,33341, ,33341,35042,33725
conv,57,150717,110351,108775,108700,108549,108745,108730, ,108549,150717,114938
