total, ,8551816,8465969,8425383,8422784,8425480,8435256,8425453, ,8422784,8551816,8450305
conv,0,505003,493549,473816,473577,473578,473719,473641, ,473577,505003,480983
conv,1,196259,193692,192718,192746,192742,192566,217277, ,192566,217277,196857
conv,2,196296,193094,192823,192543,192571,192698,193964, ,192543,196296,193427
conv,3,195727,192578,192183,193650,192312,192213,192516, ,192183,195727,193025
conv,4,196256,192766,192485,192858,192493,192517,192766, ,192485,196256,193163
conv,5,196554,192038,192009,192388,192073,192044,192114, ,192009,196554,192745
conv,6,196340,192763,192434,192391,192379,215619,192344, ,192344,215619,196324
conv,7,195299,193209,211940,192098,192011,193098,192066, ,192011,211940,195674
conv,8,196024,193379,193685,192422,192297,192821,192440, ,192297,196024,193295
conv,9,194969,193017,192383,192088,192146,192234,191991, ,191991,194969,192689
conv,10,195317,193561,192432,192403,212589,192476,192389, ,192389,212589,195881
conv,11,194694,192256,192174,192113,193345,192120,192060, ,192060,194694,192680
conv,12,195777,222852,192325,192260,192722,192394,192245, ,192245,222852,197225
conv,13,194733,193491,192051,191932,192201,191974,193310, ,191932,194733,192813
conv,14,197282,194832,193384,193565,193705,193340,194067, ,193340,197282,194310
conv,15,195297,192751,192182,193242,191997,192001,192322, ,191997,195297,192827
conv,16,196572,193086,192411,192647,192272,192326,192435, ,192272,196572,193107
conv,17,197274,192790,192040,192287,191937,219660,192057, ,191937,219660,196863
conv,18,196635,193050,192802,192838,192474,193981,192531, ,192474,196635,193473
conv,19,196539,191970,213126,192016,191996,192292,191959, ,191959,213126,195699
conv,20,197544,192323,193007,192329,192251,192434,192218, ,192218,197544,193158
conv,21,196038,191947,192316,191961,191951,192047,192032, ,191947,196038,192613
conv,22,196285,192245,192442,192192,211192,192244,192266, ,192192,211192,195552
conv,23,195947,211682,192005,191951,193048,191993,191986, ,191951,211682,195516
conv,24,196718,194355,192315,192365,192852,192382,192379, ,192315,196718,193338
resadd,0,271249,270576,270553,292186,270539,270541,270538, ,270538,292186,273740
resadd,1,298698,270339,270328,270428,270287,270287,270295, ,270287,298698,274380
resadd,2,270439,270264,270255,270284,270267,270460,270281, ,270255,270460,270321
resadd,3,270342,270279,270476,270279,270288,270314,270282, ,270279,270476,270322
resadd,4,270336,270281,270303,270275,270456,270275,270281, ,270275,270456,270315
resadd,5,270359,270472,270301,270281,270353,270298,286798, ,270281,286798,272694
resadd,6,270429,270336,270350,286750,270347,270325,270457, ,270325,286750,272713
resadd,7,285230,270390,270297,270430,270327,270316,270300, ,270297,285230,272470
resadd,8,270443,270267,270266,270282,270264,270460,270267, ,270264,270460,270321
resadd,9,270321,270279,270463,270290,270279,270290,270279, ,270279,270463,270314
resadd,10,270326,270341,270344,270343,270539,270290,270329, ,270290,270539,270358
