total, ,15167992,14865622,14841274,14846198,14849269,14808347,14843333, ,14808347,15167992,14888862
conv,0,1248802,1060018,1024035,1059442,1024964,1024528,1024660, ,1024035,1248802,1066635
conv,1,967189,945219,968529,944674,965139,942934,969287, ,942934,969287,957567
conv,2,953495,944570,945542,944376,945415,986311,945226, ,944376,986311,952133
conv,3,109110,108867,109021,108865,108929,109095,108892, ,108865,109110,108968
conv,4,950529,980806,944446,967155,944515,945508,944302, ,944302,980806,953894
conv,5,950823,942925,941674,942896,968357,941927,960659, ,941674,968357,949894
conv,6,114048,113119,112577,113170,113122,112869,113235, ,112577,114048,113162
conv,7,972157,942110,960700,942051,943319,942158,942846, ,942051,972157,949334
conv,8,935234,932061,932416,959211,931694,949715,931860, ,931694,959211,938884
conv,9,128351,125000,125314,125178,124992,125395,124996, ,124992,128351,125603
conv,10,934437,953439,931891,932608,931233,932616,931649, ,931233,953439,935410
conv,11,126765,125113,124607,124900,124467,124716,124515, ,124467,126765,125011
conv,12,934463,934246,964544,931830,951366,931410,963871, ,931410,964544,944532
conv,13,1223922,1196192,1197756,1196256,1197838,1196451,1198063, ,1196192,1223922,1200925
conv,14,144460,142024,142438,142004,142378,171258,142699, ,142004,171258,146751
conv,15,1198819,1228628,1196158,1220021,1196519,1197974,1196223, ,1196158,1228628,1204906
conv,16,142615,141885,141042,142026,141068,142323,141193, ,141042,142615,141736
conv,17,1196668,1196712,1225395,1196955,1240491,1196239,1224409, ,1196239,1240491,1210981
conv,18,309146,277450,277474,278142,278409,276672,278874, ,276672,309146,282309
